tx,106,51,69,91,11,22,38,25,24,19,61,47,59,105,63,88,79,29,60,42,3,52,93,28,49,108,84,18,15,53,78,43,95,71,55,48,56,2,76,85,13,101,33,92,89,1,65,12,17,98,41,46,96,107,83,104,8,81,75,21,44,80,82,40,37,103,26,86,27,50,72,102,77,6,57,34,20,32,68,62,14,7,45,23,x
get signer vault + get signer receiver,10415,58,14,4,17138,17,5,378192,0,2,5,55,26,2,49,16,12,0,1,1230,2287,231,4,2661,81,9,70,2659,2,157,34,1895,2,0,89,53,46,6,0,124,5909,213,2661,16,52,5917,31,34276,5913,0,1845,71,14,5538,285,5,0,2,2,0,9,10,0,5928,143808,6,19797,0,15071,90,10,12,0,40,16,5911,5909,0,16,27,0,0,1067,8592,53555528
load and save empty string on signers address,10298,54,16,4,2,17,0,54344,0,0,5,54,26,2,49,16,9,0,1,1208,2170,231,4,0,81,9,68,0,851,156,35,1875,0,0,89,53,46,1,0,122,849,212,0,16,50,856,29,4,1700,0,1829,71,14,5474,281,4,0,2,1,0,9,10,0,19,62065,4,4246,0,1,90,10,12,0,0,16,0,0,0,16,25,0,0,1055,1722,5228304
create new account + get public account,4624806,20457,6135,2044,65914,17,0,4218384,0,0,1025,21475,9206,2,21469,7156,1032,0,1,522426,1061946,102231,2044,0,38841,3069,29648,0,2,69515,16354,849510,0,0,38849,21473,20446,171,0,52141,0,96091,0,7156,23512,65918,9211,132168,2,0,837213,30670,6132,2447367,123706,2044,0,2,2,0,3069,5110,0,189,22165057,2044,131656,0,1,38850,5110,6132,0,0,8176,0,0,0,7156,11246,0,0,468215,66276,389825984
load and save empty string on signers address,10298,54,16,4,2,17,0,2595848,0,0,5,54,26,2,49,16,9,0,1,1208,2290,231,4,0,81,9,68,0,40562,156,35,1875,0,0,89,53,46,1,0,122,40560,212,0,16,50,40567,29,4,81122,0,1829,71,14,5474,281,4,0,2,1,0,9,10,0,19,776865,4,202801,0,1,90,10,12,0,0,16,0,0,0,16,25,0,0,1055,81144,173294304
add key to account,10250,54,15,4,2,17,0,167816,0,0,5,54,26,2,49,16,9,0,1,1199,2395,231,4,0,81,9,68,0,2,155,35,1871,0,0,89,53,46,1,0,122,0,211,0,16,50,2627,29,4,2,0,1821,69,12,5449,278,4,382812,2,1,0,9,10,0,19,46271,4,2623,0,1,90,10,12,0,191406,16,0,0,0,16,25,0,5244,1048,2646,153336464
create new account and deploy contract,5009401,22135,6639,2212,922,17,184,11784,0,0,1109,23238,9962,2,23233,7744,1113,0,1,566087,1149499,110815,2212,0,42033,3505,32085,0,2,75227,17700,919855,0,0,42041,23237,22310,369,0,56427,0,103987,0,7744,25442,557,9965,2764,186,0,906742,33191,6636,2651212,133867,2212,19504,2,1,0,3505,5530,0,387,24085022,2212,369,0,1,42042,5530,6636,0,6808,8848,0,0,0,7744,12170,0,552,507423,2232,224094632
load and save long string on signers address + create new account and deploy contract,729282,3369,1193,316,122,17,24,96336,0,0,245,3703,1394,26,3217,1192,180,0,1,85108,158303,15543,292,0,5961,489,5183,0,1483,11052,2461,131426,24,240,6065,3461,3118,49,96,8909,1481,15188,0,1048,3676,1561,1495,364,2988,120,130970,5354,1166,387265,20427,364,2544,2,2,0,489,778,24,67,3395730,412,7455,96,1,6066,946,876,48,888,1168,0,0,0,1144,1874,0,72,75134,3274,19866608
add and remove key to/from account + copy array from storage and save a duplicate,10571,61,18,4,2,17,0,1269064,0,0,5,56,26,4,49,16,16,2,1,1252,3326,231,4,0,81,9,72,0,1885,158,35,1920,1,0,89,53,46,1,0,128,3766,214,0,16,55,13240,33,4,5651,0,1870,74,15,5621,298,4,86591,2,3,0,9,10,0,5668,79150,4,30232,1,1,90,10,12,0,3739,16,0,0,0,16,28,0,15217,1089,5724,47527256
get signer receiver + add key to account,10383,57,15,4,7186,17,5,203088,0,2,5,55,26,2,49,16,12,0,1,1224,2316,231,4,1798,81,9,71,1796,2,156,35,1891,1,0,89,53,46,6,0,125,1796,212,1798,16,52,3181,31,14372,1800,0,1840,71,13,5523,284,5,201042,2,2,0,9,10,0,1815,79475,5,10359,0,3595,90,10,12,0,100561,16,1798,1796,0,16,26,0,2754,1063,4993,113534696
get signer address + mint NFT,10306,56,16,4,4600,17,2,543968,1149,0,5,55,26,2,49,16,12,1,1,1203,2166,231,4,0,81,9,67,0,3449,155,34,1886,0,0,89,53,46,4,0,122,0,211,0,16,52,8218,31,10351,2,0,1829,68,12,5477,283,4,47086020,2,2,0,9,10,0,5764,75148,4,15108,0,1151,90,10,12,0,27592,16,0,0,0,16,25,0,1149,1052,1176,44176008
get account and get storage used + borrow array from storage,10476,61,15,4,1157,17,0,3457456,0,0,5,56,26,3,49,16,15,1,1,1231,2672,231,4,0,81,9,68,0,2,157,34,1914,1,0,89,53,46,1,0,125,5035,213,0,16,55,36408,33,2314,5037,0,1855,70,13,5567,293,4,327275,2,3,0,9,10,0,15124,72188,5,77837,1,1,90,10,12,0,9248,16,5035,5035,0,16,28,0,65455,1075,6214,138721712
get account and get storage capacity + convert int to string and concatenate it,1350304,6787,1667,1147,1145,2557,762,356624,127,254,513,7294,2566,2,5891,1921,520,0,1,155387,323216,28171,512,508,10876,898,9848,127,2,20856,4226,245472,254,635,11138,6530,5634,1017,0,16761,127,28151,508,1921,7291,5354,2952,2544,383,0,243260,9849,1917,718214,37241,766,0,2,2,0,898,2169,0,2559,6509009,766,10571,0,1017,11139,2423,1536,0,10160,2048,508,127,0,2048,3835,0,0,138725,13514,52912432
transfer tokens + create new account,960529,4259,9621,424,20903,17,6,91280,2782,2,215,4465,1916,2,4459,1487,222,0,1,108553,220357,21231,424,1393,8061,639,6163,1391,5566,14437,3394,176413,2,0,8069,4463,4246,42,0,10836,13910,19953,1393,1486,4882,9780,1921,33529,2786,0,173847,6374,1274,508317,25702,425,0,2,2,4173,639,1061,0,33438,4745867,426,29248,0,11131,8070,1060,1272,0,89080,1696,2784,2782,2782,1486,2338,0,0,97257,9866,185298904
convert int to string + create new account and deploy contract,3841204,16977,5092,1696,707,17,141,9690160,0,0,851,17821,7640,2,17815,5938,858,0,1,434086,1748164,84972,1696,0,32229,2688,24604,0,2,57683,13572,705343,0,0,32237,17819,17107,283,0,43270,0,79735,0,5938,19510,134889,7645,2119,143,0,695278,25451,5088,2032952,102654,1696,14946,2,2,0,2688,4240,0,301,18465215,1696,134744,0,1,32238,4240,5088,0,5217,6784,0,0,0,5938,9332,0,423,389094,136176,363021024
get account and get storage capacity + emit event,571355,2536,760,252,10559,1257,373,643792,10059,124,129,2659,1142,2,2653,884,136,0,1,64570,131064,12631,252,248,4793,381,3664,62,9999,8587,2018,104930,0,0,4801,2657,2526,499,0,6447,62,11867,248,884,2904,10251,1147,1250,188,0,103387,3789,756,302402,15288,252,0,2,2,0,381,630,0,11256,2794069,252,10433,0,497,4802,630,756,0,4976,1008,248,62,0,884,1389,0,0,57846,1887,82740848
