tx,TransferCompositeValue,GetCode,GetAccountAvailableBalance,GetValue,GetStorageUsed,RLPDecoding,AllocateStorageIndex,DestroyCompositeValue,TransferArrayValue,GetCurrentBlockHeight,EmitEvent,EncodeValue,CreateAccount,EncodeEvent,GetAccountBalance,UpdateAccountContractCode,EVMGasUsage,Statement,CreateArrayValue,GetBlockAtHeight,GetStorageCapacity,CreateCompositeValue,AddEncodedAccountKey,RevokeEncodedAccountKey,GetAccountContractCode,TransferDictionaryValue,FunctionInvocation,ResolveLocation,GetOrLoadProgram,SetValue,CreateDictionaryValue,GenerateUUID,Loop,estimated,ms
copy array from storage + get account and get storage used,0,37,0,1827,6886,0,0,0,83230,0,0,0,0,0,0,0,0,138621,0,0,0,0,0,0,37,0,15209,35,44,0,0,0,56824,210654,4334
transfer tokens to EVM address,1258,37,0,265053,0,68449,0,1,212318,0,548866,0,0,1256,0,0,13188000,2516,629,0,0,629,0,0,37,0,3143,35,44,221692,0,1,0,5659,86
convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10418,0,0,0,0,0,0,37,0,5208,35,44,0,0,0,5208,20834,10
get public account + get account and get storage used,0,37,0,0,2482,0,0,0,0,0,0,0,0,0,0,0,0,13830,0,0,0,0,0,0,37,0,6913,35,44,0,0,0,6913,27656,18
get account and get balance,0,74,0,4524309,0,0,0,0,0,0,0,0,0,0,1647,0,0,9884,0,0,0,0,0,0,74,0,4941,69,14901,0,0,0,1647,16472,237
load and save empty string on signers address + convert int to string and concatenate it,0,37,0,1335,0,0,0,0,0,0,0,1271,0,0,0,0,0,16111,0,0,0,0,0,0,37,0,11018,35,44,1286,0,0,5509,32638,20
get signer address + convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31998,0,0,0,0,0,0,37,0,2821,35,44,0,0,0,15997,50816,10
add key to account,0,37,0,0,0,0,0,0,486472,0,1419432,0,0,6664,0,0,0,13330,6664,0,0,0,6664,0,37,0,13328,35,44,0,0,0,6664,33322,193
add and remove key to/from account,0,37,0,0,0,0,0,0,96579,0,570213,0,0,2646,0,0,0,3971,2646,0,0,0,1323,1323,37,0,3969,35,44,0,0,0,1323,9263,49
get account and get storage capacity + get signer address,0,37,0,5918000,0,0,0,0,0,0,0,0,0,0,0,0,0,23720,0,0,2200,0,0,0,37,0,15400,35,15444,0,0,0,4158,43278,280
borrow array from storage + get signer receiver,0,37,0,2425,0,0,0,0,0,0,0,0,0,0,0,0,0,194333,0,0,0,0,0,0,37,0,84384,35,44,0,0,0,82715,361432,385
call empty contract function + get account and get available balance,0,37,825,2219471,825,0,0,0,0,0,0,0,0,0,0,0,0,14721,0,0,0,0,0,0,37,0,10246,35,5819,0,0,0,1171,26138,107
copy array from storage and save a duplicate + load and save long string on signers address,0,37,0,3401,0,0,848,0,21200,0,0,2837,0,0,0,0,0,29558,0,0,0,0,0,0,37,0,12636,35,44,2860,0,0,10134,52328,38
decode hex + get signer vault,0,37,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,13982,4340,0,0,0,0,0,37,0,6989,35,44,0,0,0,6989,27960,33
get account and get available balance + get account and get balance,0,74,677,8153170,677,0,0,0,0,0,0,0,0,0,2340,0,0,25553,0,0,0,0,0,0,74,0,15144,69,25877,0,0,0,3017,43714,405
reference tx,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21947,0,0,0,0,0,0,37,0,0,35,44,0,0,0,21945,43892,13
add and remove key to/from account + mint NFT,489,37,0,2583,0,0,167,0,103441,0,610727,25556,0,2834,0,0,0,5396,2834,0,0,163,1417,1417,37,0,4903,35,44,35278,0,163,1580,11879,58
add key to account + mint NFT,6711,37,0,3261,0,0,2295,0,289664,0,845184,321064,0,3968,0,0,0,23599,3968,0,0,2237,3968,0,37,0,16884,35,44,453152,0,2237,6205,46688,204
load and save long string on signers address + convert int to string and concatenate it,0,37,0,1335,0,0,0,0,0,0,0,1312,0,0,0,0,0,37967,0,0,0,0,0,0,37,0,30720,35,44,1327,0,0,15360,84047,39
transfer tokens to EVM address + reference tx,468,37,0,98991,0,25395,0,1,78810,0,203638,0,0,466,0,0,4893000,5354,234,0,0,234,0,0,37,0,1168,35,44,82490,0,1,4416,10938,37
get account and get balance + load and save long string on signers address,0,74,0,5146466,0,0,0,0,0,0,0,1312,0,0,1873,0,0,28960,0,0,0,0,0,0,74,0,17431,69,16935,1327,0,0,7779,54170,674
get public account + get account and get available balance,0,37,1191,3252621,1191,0,0,0,0,0,0,0,0,0,0,0,0,30525,0,0,0,0,0,0,37,0,19429,35,8381,0,0,0,6328,56282,144
convert int to string,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2324,0,0,0,0,0,0,37,0,1161,35,44,0,0,0,1161,4646,6
get account and get storage capacity + call empty contract function,0,37,0,3898033,0,0,0,0,0,0,0,0,0,0,0,0,0,46269,0,0,1449,0,0,0,37,0,26755,35,10187,0,0,0,18061,91085,190
copy array from storage and save a duplicate + reference tx,0,37,0,3360,0,0,4792,0,119800,0,0,1585,0,0,0,0,0,98042,0,0,0,0,0,0,37,0,14376,35,44,1608,0,0,45326,157744,156
create new account + transfer tokens,1158,73,0,1913,0,0,0,386,0,0,86261,67,263,1035,0,0,0,9408,0,0,0,1158,0,0,73,0,4509,65,74,122,0,386,649,14566,166
get public account + create new account,0,73,0,0,0,0,0,0,0,0,58245,0,1059,1059,0,0,0,28208,0,0,0,0,0,0,73,0,14102,65,74,0,0,0,14102,56412,484
convert int to string and concatenate it + transfer tokens,5055,37,0,1954,0,0,0,1685,0,0,313410,67,0,3370,0,0,0,38895,0,0,0,5055,0,0,37,0,18671,35,44,122,0,1685,1753,59319,83
borrow array from storage,0,37,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,79202,0,0,0,0,0,0,37,0,5280,35,44,0,0,0,31680,116162,85
get signer vault + load and save empty string on signers address,0,37,0,1457,0,0,0,0,0,0,0,1271,0,0,0,0,0,23019,0,0,0,0,0,0,37,0,15015,35,44,1286,0,0,8000,46034,28
get account and get storage capacity + get signer address,0,37,0,6006770,0,0,0,0,0,0,0,0,0,0,0,0,0,32787,0,0,2233,0,0,0,37,0,15631,35,15675,0,0,0,8576,56994,272
create and destroy EVM bridged account,9682,37,0,39385,0,0,0,4841,290460,0,0,0,0,0,0,0,0,24207,4841,0,0,4841,0,0,37,0,14523,35,44,38728,0,4841,4841,43571,71
decode hex,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21932,10965,0,0,0,0,0,37,0,10965,35,44,0,0,0,10965,43862,49
get signer vault + add and remove key to/from account,0,37,0,1457,0,0,0,0,145781,0,860707,0,0,3994,0,0,0,16017,3994,0,0,0,1997,1997,37,0,11002,35,44,0,0,0,7008,34027,88
get account and get storage capacity + get account and get available balance,0,37,1540,8578071,1540,0,0,0,0,0,0,0,0,0,0,0,0,40593,0,0,1601,0,0,0,37,0,29687,35,22031,0,0,0,3141,73421,346
call empty contract function + get signer receiver,0,37,0,2175,0,0,0,0,0,0,0,0,0,0,0,0,0,47254,0,0,0,0,0,0,37,0,26451,35,44,0,0,0,23625,97330,44
transfer tokens + load and save long string on signers address,3099,37,0,1954,0,0,0,1033,0,0,192138,1379,0,2066,0,0,0,31572,0,0,0,3099,0,0,37,0,16569,35,44,1449,0,1033,3636,51777,68
transfer tokens + copy array from storage,4803,37,0,2487,0,0,0,1601,28060,0,297786,67,0,3202,0,0,0,78917,0,0,0,4803,0,0,37,0,20417,35,44,122,0,1601,18437,117771,117
convert int to string + transfer tokens,12336,37,0,1913,0,0,0,4112,0,0,764832,67,0,8224,0,0,0,109366,0,0,0,12336,0,0,37,0,52625,35,44,122,0,4112,11505,173496,230
create new account and deploy contract + create new account,0,404,0,714780,0,0,660,0,12210,0,118910,28380,1148,1478,0,330,0,2630,660,0,0,330,0,0,404,0,1808,69,78,54447,0,0,1148,5586,737
emit event + decode hex,0,37,0,221,0,0,0,0,0,0,257412,0,0,4516,0,0,0,16996,1722,0,0,4516,0,0,37,0,10754,35,44,0,0,0,6238,33988,23
transfer tokens,7170,37,0,1954,0,0,0,2390,0,0,444540,67,0,4780,0,0,0,54972,0,0,0,7170,0,0,37,0,26290,35,44,122,0,2390,2390,83652,129
get signer vault,0,37,0,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,4368,0,0,0,0,0,0,37,0,2183,35,44,0,0,0,2183,8734,19
get account and get storage used + transfer tokens to EVM address,4950,37,0,1044693,523,269629,0,1,836198,0,2162202,0,0,4948,0,0,51954000,10948,2475,0,0,2475,0,0,37,0,12896,35,44,875804,0,1,523,24367,353
load and save long string on signers address,0,37,0,1294,0,0,0,0,0,0,0,1312,0,0,0,0,0,53498,0,0,0,0,0,0,37,0,35664,35,44,1327,0,0,17832,106994,52
get signer receiver + load and save empty string on signers address,0,37,0,1913,0,0,0,0,0,0,0,1271,0,0,0,0,0,72180,0,0,0,0,0,0,37,0,62554,35,44,1286,0,0,26946,161680,116
copy array from storage + transfer tokens to EVM address,2704,37,0,572655,0,147244,0,1,460718,0,1180744,0,0,2702,0,0,28371000,11485,1352,0,0,1352,0,0,37,0,7163,35,44,478262,0,1,2430,21078,202
transfer tokens to EVM address + create new account,4162,73,0,878425,0,226694,0,1,703048,0,1852188,0,624,4784,0,0,43680000,9574,2081,0,0,2081,0,0,73,0,11027,65,74,736328,0,1,624,21225,1037
get account and get balance + get signer vault,0,74,0,2366624,0,0,0,0,0,0,0,0,0,0,861,0,0,12450,0,0,0,0,0,0,74,0,6223,69,7827,0,0,0,4501,23174,117
reference tx,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864,0,0,0,0,0,0,37,0,0,35,44,0,0,0,1862,3726,11
borrow array from storage + mint NFT,4677,37,0,4953,0,0,1599,0,0,0,0,224538,0,0,0,0,0,58377,0,0,0,1559,0,0,37,0,9400,35,44,316624,0,1559,20543,88320,91
mint NFT + convert int to string and concatenate it,912,37,0,3833,0,0,312,0,0,0,0,46850,0,0,0,0,0,18422,0,0,0,304,0,0,37,0,17506,35,44,64891,0,304,8449,44377,24
borrow array from storage + create and destroy EVM bridged account,16152,37,0,67092,0,0,0,8076,484560,0,0,0,0,0,0,0,0,147904,8076,0,0,8076,0,0,37,0,31396,35,44,64608,0,8076,51084,230384,259
mint NFT,6861,37,0,2941,0,0,2346,0,0,0,0,327839,0,0,0,0,0,16011,0,0,0,2287,0,0,37,0,9148,35,44,462877,0,2287,2287,27446,51
copy array from storage + mint NFT,5415,37,0,4692,0,0,1851,0,48060,0,0,259192,0,0,0,0,0,84729,0,0,0,1805,0,0,37,0,12026,35,44,365792,0,1805,30641,127396,111
get account and get balance + convert int to string,0,74,0,197784,0,0,0,0,0,0,0,0,0,0,72,0,0,30100,0,0,0,0,0,0,74,0,15048,69,726,0,0,0,14904,60052,30
create and destroy EVM bridged account,8390,37,0,34217,0,0,0,4195,251700,0,0,0,0,0,0,0,0,20977,4195,0,0,4195,0,0,37,0,12585,35,44,33560,0,4195,4195,37757,65
get account and get storage used + load and save empty string on signers address,0,37,0,1273,1363,0,0,0,0,0,0,1271,0,0,0,0,0,15063,0,0,0,0,0,0,37,0,9585,35,44,1286,0,0,5474,30122,21
decode hex,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7872,3935,0,0,0,0,0,37,0,3935,35,44,0,0,0,3935,15742,31
copy array from storage and save a duplicate + convert int to string,0,37,0,3401,0,0,5722,0,143050,0,0,1585,0,0,0,0,0,102692,0,0,0,0,0,0,37,0,19873,35,44,1608,0,0,37039,159604,128
get signer vault + add and remove key to/from account,0,37,0,1457,0,0,0,0,301052,0,1777444,0,0,8248,0,0,0,15056,8248,0,0,0,4124,4124,37,0,13712,35,44,0,0,0,5464,34232,166
add key to account,0,37,0,0,0,0,0,0,40734,0,118854,0,0,558,0,0,0,1118,558,0,0,0,558,0,37,0,1116,35,44,0,0,0,558,2792,15
get public account + load and save long string on signers address,0,37,0,1335,0,0,0,0,0,0,0,1312,0,0,0,0,0,31421,0,0,0,0,0,0,37,0,16988,35,44,1327,0,0,14429,62838,28
transfer tokens to EVM address + convert int to string,2166,37,0,457269,0,117928,0,1,365756,0,945648,0,0,2164,0,0,22722000,12670,1083,0,0,1083,0,0,37,0,9581,35,44,383036,0,1,4168,26419,151
get signer receiver + add key to account,0,37,0,1913,0,0,0,0,530929,0,1549149,0,0,7273,0,0,0,45190,7273,0,0,0,7273,0,37,0,60506,35,44,0,0,0,22593,128289,331
call empty contract function,0,37,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,13036,0,0,0,0,0,0,37,0,6517,35,44,0,0,0,6517,26070,10
add key to account,0,37,0,0,0,0,0,0,264625,0,772125,0,0,3625,0,0,0,7252,3625,0,0,0,3625,0,37,0,7250,35,44,0,0,0,3625,18127,119
get signer receiver + borrow array from storage,0,37,0,2487,0,0,0,0,0,0,0,0,0,0,0,0,0,82589,0,0,0,0,0,0,37,0,10895,35,44,0,0,0,33410,126894,153
decode hex,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25852,12925,0,0,0,0,0,37,0,12925,35,44,0,0,0,12925,51702,67
get signer receiver,0,37,0,1913,0,0,0,0,0,0,0,0,0,0,0,0,0,22300,0,0,0,0,0,0,37,0,33447,35,44,0,0,0,11149,66896,85
