tx,GetAccountAvailableBalance,GetBlockAtHeight,RevokeEncodedAccountKey,AddEncodedAccountKey,CreateCompositeValue,CreateAccount,SetValue,GetStorageUsed,GenerateUUID,FunctionInvocation,TransferArrayValue,GetOrLoadProgram,UpdateAccountContractCode,Statement,RLPDecoding,DestroyCompositeValue,GetStorageCapacity,GetAccountBalance,GetAccountContractCode,ResolveLocation,GetCurrentBlockHeight,CreateDictionaryValue,TransferCompositeValue,TransferDictionaryValue,AllocateStorageIndex,Loop,CreateArrayValue,GetCode,EmitEvent,EVMGasUsage,GetValue,EncodeValue,EncodeEvent,estimated,ms
convert int to string,0,0,0,0,0,0,0,0,0,2174,0,44,0,4350,0,0,0,0,37,35,0,0,0,0,0,2174,0,37,0,0,0,0,0,8698,11
copy array from storage + get account and get storage used,0,0,0,0,0,0,0,208,0,13225,130170,44,0,195675,0,0,0,0,37,35,0,0,0,0,0,78310,0,37,0,0,1827,0,0,287210,298
create new account + get account and get storage capacity,0,0,0,0,0,581,0,0,0,9702,0,9195,0,12893,0,0,1303,0,73,65,0,0,0,0,0,1884,0,73,31955,0,3558493,0,581,24479,382
add and remove key to/from account + get account and get storage capacity,0,0,202,202,0,0,0,0,0,11428,14746,10866,0,14524,0,0,1546,0,37,35,0,0,0,0,0,1748,404,37,87062,0,4222126,0,404,27700,227
get signer address,0,0,0,0,0,0,0,0,0,0,0,44,0,738,0,0,0,0,37,35,0,0,0,0,0,368,0,37,0,0,0,0,0,1106,1
get signer address + transfer tokens to EVM address,0,0,0,0,464,0,163910,0,1,2318,156548,44,0,5498,50464,1,0,0,37,35,0,0,928,0,0,1820,464,37,404656,9723000,196051,0,926,9636,70
convert int to string + reference tx,0,0,0,0,0,0,0,0,0,85,0,44,0,648,0,0,0,0,37,35,0,0,0,0,0,559,0,37,0,0,0,0,0,1292,6
get account and get balance,0,0,0,0,0,0,0,0,0,3780,0,11418,0,7562,0,0,0,1260,74,69,0,0,0,0,0,1260,0,74,0,0,3461220,0,0,12602,185
load and save long string on signers address + get account and get storage used,0,0,0,0,0,0,1327,5304,0,20720,0,44,0,33736,0,0,0,0,37,35,0,0,0,0,0,13012,0,37,0,0,1335,1312,0,67468,38
get account and get storage used + transfer tokens to EVM address,0,0,0,0,2674,0,946250,12831,1,26199,903484,44,0,36360,291332,1,0,0,37,35,0,0,5348,0,0,12831,2674,37,2336152,56133000,1128671,0,5346,75390,422
reference tx + convert int to string,0,0,0,0,0,0,0,0,0,7897,0,44,0,45627,0,0,0,0,37,35,0,0,0,0,0,37726,0,37,0,0,0,0,0,91250,21
get account and get storage used,0,0,0,0,0,0,0,24061,0,24061,0,44,0,48124,0,0,0,0,37,35,0,0,0,0,0,24061,0,37,0,0,0,0,0,96246,56
add key to account + get signer receiver,0,0,0,1895,0,0,0,0,0,8836,138335,44,0,7158,0,0,0,0,37,35,0,0,0,0,0,3577,1895,37,403635,0,1954,0,1895,19571,70
get account and get available balance,1020,0,0,0,0,0,0,1020,0,12240,0,7184,0,17342,0,0,0,0,37,35,0,0,0,0,0,1020,0,37,0,0,2785620,0,0,30602,129
add key to account + get signer receiver,0,0,0,3317,0,0,0,0,0,13804,242141,44,0,11418,0,0,0,0,37,35,0,0,0,0,0,5707,3317,37,706521,0,1954,0,3317,30929,103
add key to account + convert int to string and concatenate it,0,0,0,2224,0,0,0,0,0,27782,162352,44,0,27786,0,0,0,0,37,35,0,0,0,0,0,13891,2224,37,473712,0,0,0,2224,69459,125
decode hex,0,0,0,0,0,0,0,0,0,1496,0,44,0,2994,0,0,0,0,37,35,0,0,0,0,0,1496,1496,37,0,0,0,0,0,5986,6
borrow array from storage + convert int to string,0,0,0,0,0,0,0,0,0,15326,0,44,0,31527,0,0,0,0,37,35,0,0,0,0,0,15661,0,37,0,0,1827,0,0,62514,21
create and destroy EVM bridged account + get signer receiver,0,0,0,0,8178,0,65424,0,8178,33183,490680,44,0,46660,0,8178,0,0,37,35,0,0,16356,0,0,11061,8178,37,0,0,68035,0,0,90904,148
