tx,1003,2025,2018,2027,2015,1010,1026,2008,2005,1011,2006,2007,2020,2011,2024,1012,1002,2022,2004,2017,1001,2026,2009,2010,2019,1025,x
add and remove key to/from account,6411,9,0,0,8,0,156001,0,0,0,0,4274,2312,8,2137,0,2137,5,2137,8,6413,0,0,0,0,4274,283
convert int to string and concatenate it + copy array from storage and save a duplicate,138716,9,0,0,8,0,12545,0,502,0,0,0,4022,8,0,0,71617,5,0,8,145748,1722,0,0,0,0,477
mint NFT + get account and get available balance,7508,1677,0,0,1676,1182,0,1182,1212,3546,0,0,650262,1676,0,0,1460,561,0,1398,11892,236662,278,0,278,0,259
get public account,2531,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,2531,5,0,8,5064,0,0,0,0,0,12
reference tx + copy array from storage,2660,9,0,0,8,0,26600,0,0,0,0,0,4001,8,0,0,16836,5,0,8,40780,0,0,0,0,0,70
borrow array from storage + transfer tokens,3981,9,0,0,8,411,0,137,0,411,0,274,4773,8,0,137,14981,5,0,8,40265,225,0,0,0,0,124
get account and get storage capacity + add and remove key to/from account,1752,99,15,0,98,0,40807,0,0,0,0,1118,37149,98,559,0,574,35,559,83,1756,0,0,0,0,1118,82
get account and get available balance + add and remove key to/from account,11027,3963,0,0,3962,0,107967,0,0,0,0,2958,1502196,3962,1479,0,2138,1323,1479,3303,13008,0,659,0,659,2958,586
get signer receiver + add and remove key to/from account,5457,9,0,0,8,0,56064,0,0,0,0,1536,4055,8,768,0,1819,5,768,8,4410,0,0,0,0,1536,124
get signer address + load and save long string on signers address,95006,9,0,0,8,0,0,0,0,0,0,0,3366,8,0,0,230950,5,0,8,509407,1155,0,0,0,0,801
copy array from storage and save a duplicate + get signer address,1365,9,0,0,8,0,11375,0,455,0,0,0,4534,8,0,0,94288,5,0,8,190855,1681,0,0,0,0,215
transfer tokens + get account and get available balance,5349,1113,0,0,1112,957,0,319,0,957,0,638,422901,1112,0,319,503,373,0,928,9733,225,184,0,184,0,122
convert int to string and concatenate it,114414,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,57207,5,0,8,114416,0,0,0,0,0,207
get account and get storage used,32274,9,0,0,8,0,0,0,0,0,0,0,2394,8,0,0,32274,5,0,8,64550,0,0,0,32274,0,551
get account and get storage used + transfer tokens,14433,9,0,0,8,804,0,268,0,804,0,536,4117,8,0,268,11753,5,0,8,29138,225,0,0,11485,0,156
copy array from storage + get account and get storage used,22876,9,0,0,8,0,96130,0,0,0,0,0,4124,8,0,0,70941,5,0,8,170725,0,0,0,13263,0,6758
load and save empty string on signers address,60060,9,0,0,8,0,0,0,0,0,0,0,3468,8,0,0,30030,5,0,8,90092,1148,0,0,0,0,197
load and save empty string on signers address + get signer address,34626,9,0,0,8,0,0,0,0,0,0,0,3591,8,0,0,200760,5,0,8,418837,1148,0,0,0,0,1392
get account and get storage capacity,4525,5439,905,0,5438,0,0,0,0,0,0,0,2062092,5438,0,0,905,1815,0,4533,4527,0,0,0,0,0,393
copy array from storage and save a duplicate,4746,9,0,0,8,0,39550,0,1582,0,0,0,4657,8,0,0,9492,5,0,8,26896,1722,0,0,0,0,122
add and remove key to/from account,774,9,0,0,8,0,18834,0,0,0,0,516,2394,8,258,0,258,5,258,8,776,0,0,0,0,516,38
create new account,194,3501,0,0,3500,0,0,0,0,0,194,194,2394,3500,0,0,194,1169,0,1172,390,0,0,0,0,0,318
emit event + mint NFT,32818,9,0,0,8,14694,0,1715,1758,5145,0,12979,4442,8,0,0,14694,5,0,8,50946,336673,0,0,0,0,238
create new account and deploy contract + add key to account,3753,1251,0,69,1319,69,131982,0,138,0,69,1911,82076,1319,0,0,1842,419,1773,422,3757,11385,0,0,0,1911,1349
borrow array from storage + get signer receiver,7313,9,0,0,8,0,0,0,0,0,0,0,4588,8,0,0,4574,5,0,8,10283,0,0,0,0,0,57
create new account and deploy contract + get account and get storage capacity,2141,3543,388,67,3609,67,2479,0,134,0,67,134,962852,3609,0,0,455,1183,0,2350,2145,11055,0,0,0,134,416
get account and get storage capacity + convert int to string,73581,4743,789,0,4742,0,0,0,0,0,0,0,1798076,4742,0,0,70425,1583,0,3953,143221,0,0,0,0,0,796
create new account and deploy contract,78,477,0,26,502,26,962,0,52,0,26,52,32368,502,0,0,26,161,0,164,80,4290,0,0,0,52,66
get public account,49870,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,49870,5,0,8,99742,0,0,0,0,0,268
get signer receiver,4737,9,0,0,8,0,0,0,0,0,0,0,4055,8,0,0,1579,5,0,8,3160,0,0,0,0,0,38
add and remove key to/from account + create new account,2767,1966,0,0,1965,0,64824,0,0,0,103,1879,2312,1965,888,0,991,1035,888,1038,2874,0,0,0,0,1776,284
get account and get storage used + get signer receiver,19591,9,0,0,8,0,0,0,0,0,0,0,3932,8,0,0,8317,5,0,8,16638,0,0,0,2680,0,137
reference tx,0,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,265112,5,0,8,265114,0,0,0,0,0,562
get account and get storage used + borrow array from storage,8873,9,0,0,8,0,0,0,0,0,0,0,4001,8,0,0,32718,5,0,8,79747,0,0,0,4104,0,197
copy array from storage,2186,9,0,0,8,0,21860,0,0,0,0,0,4001,8,0,0,13116,5,0,8,32792,0,0,0,0,0,57
transfer tokens + add and remove key to/from account,10238,9,0,0,8,2496,26426,832,0,2496,0,2388,4117,8,362,832,1194,5,362,8,20226,225,0,0,0,724,331
convert int to string and concatenate it + copy array from storage,90646,9,0,0,8,0,700,0,0,0,0,0,4001,8,0,0,45708,5,0,8,91630,0,0,0,0,0,379
get account and get storage capacity + load and save long string on signers address,31742,1869,310,0,1868,0,0,0,0,0,0,0,709028,1868,0,0,15406,625,0,1558,46842,1189,0,0,0,0,212
convert int to string,57333,9,0,0,8,0,0,0,0,0,0,0,2394,8,0,0,57333,5,0,8,114668,0,0,0,0,0,140
convert int to string and concatenate it + get signer address,81928,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,99476,5,0,8,198956,0,0,0,0,0,240
transfer tokens + get signer vault,60263,9,0,0,8,6594,0,2198,0,6594,0,4396,3949,8,0,2198,38283,5,0,8,122728,225,0,0,0,0,737
add key to account + create new account,2032,239,0,0,238,0,73803,0,0,0,10,1021,2394,238,0,0,1021,185,1011,188,2046,0,0,0,0,1011,117
reference tx + call empty contract function,14935,9,0,0,8,0,0,0,0,0,0,0,2615,8,0,0,37179,5,0,8,52118,0,0,0,0,0,133
add and remove key to/from account + get account and get storage capacity,1021,65,8,0,64,0,23871,0,0,0,0,654,20520,64,327,0,335,37,327,64,1025,0,0,0,0,654,49
create new account and deploy contract + convert int to string and concatenate it,137309,669,0,33,701,33,1221,0,66,0,33,66,41895,701,0,0,68638,335,0,338,137313,5445,0,0,0,66,423
convert int to string,144157,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,144157,5,0,8,288316,0,0,0,0,0,354
get signer receiver,28089,9,0,0,8,0,0,0,0,0,0,0,4055,8,0,0,9363,5,0,8,18728,0,0,0,0,0,245
create new account and deploy contract,552,3321,0,184,3504,184,6808,0,368,0,184,368,222642,3504,0,0,184,1109,0,1112,554,30359,0,0,0,368,339
copy array from storage and save a duplicate,3009,9,0,0,8,0,25070,0,1003,0,0,0,4022,8,0,0,6018,5,0,8,17053,1722,0,0,0,0,65
get signer address,0,9,0,0,8,0,0,0,0,0,0,0,2312,8,0,0,40011,5,0,8,80024,0,0,0,0,0,75
get account and get storage used + borrow array from storage,23232,9,0,0,8,0,0,0,0,0,0,0,4124,8,0,0,58707,5,0,8,138703,0,0,0,16137,0,473
create new account + get account and get available balance,2962,3561,0,0,3560,0,0,0,0,0,102,102,665056,3560,0,0,388,1189,0,2050,3926,0,286,0,286,0,251
get signer vault + get public account,25299,9,0,0,8,0,0,0,0,0,0,0,3590,8,0,0,25299,5,0,8,50602,0,0,0,0,0,174
