tx,2006,2007,2011,1025,2005,2027,2017,2019,1003,2020,2010,2018,1026,2004,1010,2025,2026,2024,1001,2015,2022,1041,2008,2009,1011,1012,1002,1040,estimated,actual
get account and get storage capacity + convert int to string and concatenate it,0,0,1532,0,0,0,1278,0,63386,580416,0,254,0,0,0,1533,0,0,63390,1532,513,0,0,0,0,0,31312,0,158088,193
convert int to string and concatenate it,0,0,8,0,0,0,8,0,25750,2312,0,0,0,0,0,9,0,0,25752,8,5,0,0,0,0,0,12875,0,64377,75
ephemeral ref,0,0,8,0,0,0,8,0,0,2394,0,0,0,0,0,9,0,0,30005,8,5,0,0,0,0,0,10001,0,40006,27
convert int to string and concatenate it + add key to account,0,2574,8,2574,0,0,8,0,142358,2394,0,0,187902,2574,0,9,0,0,142362,8,5,0,0,0,0,0,71179,0,355899,504
dict + mint NFT,0,0,8,0,3520,0,8,0,13728,4964,0,0,0,0,3432,9,672219,0,29970,8,5,0,3432,0,10296,0,6403,2971,50101,193
dict + get public account,0,0,8,0,0,0,8,0,19662,2312,0,0,0,0,0,9,0,0,61264,8,5,0,0,0,0,0,30630,10968,111556,167
borrow array from storage + emit event,0,700,8,0,0,0,8,0,2452,4345,0,0,0,0,700,9,0,0,17884,8,5,0,0,0,0,0,7012,0,27348,35
mint NFT + character,0,0,8,0,2139,0,8,0,8344,5038,0,0,0,0,2086,9,409611,0,67788,8,5,0,2086,0,6258,0,28677,0,104809,188
get account and get storage used,0,0,8,0,0,0,8,24297,24297,2394,0,0,0,0,0,9,0,0,48596,8,5,0,0,0,0,0,24297,0,97190,297
array append,0,0,8,66755,0,0,8,0,66755,2394,0,0,0,0,0,9,0,0,133512,8,5,0,0,0,0,0,66755,0,267022,447
,0,0,0,1,1,0,0,0,2,3201,0,0,10,0,0,1,1625,0,2,0,0,0,0,0,0,0,0,0,4,2
load and save empty string on signers address + add key to account,0,1839,8,1839,0,0,8,0,31460,3591,0,0,134247,1839,0,9,1148,0,45355,8,5,0,0,0,0,0,15730,0,92545,267
dict,0,0,8,0,0,0,8,0,0,2312,0,0,0,0,0,9,0,0,104634,8,5,0,0,0,0,0,52316,52316,156950,368
address + get account and get balance,0,0,9962,0,0,0,9014,0,1422,1088720,474,0,0,0,0,9963,0,0,39532,9962,6641,0,0,0,0,0,19290,0,60244,334
ephemeral ref,0,0,8,0,0,0,8,0,0,2312,0,0,0,0,0,9,0,0,151484,8,5,0,0,0,0,0,50494,0,201978,154
add and remove key to/from account + mint NFT,0,1754,8,1754,3663,0,8,0,16919,4655,0,0,64021,877,3572,9,699329,877,27639,8,5,0,3572,0,10716,0,4449,0,49007,349
get account and get available balance,0,0,4550,0,0,0,3793,757,7570,1725244,0,0,0,0,0,4551,0,0,9843,4550,1519,0,0,757,0,0,757,0,18170,302
get account and get available balance,0,0,4100,0,0,0,3418,682,6820,1582588,0,0,0,0,0,4101,0,0,8868,4100,1369,0,0,682,0,0,682,0,16370,270
ephemeral ref,0,0,8,0,0,0,8,0,0,2200,0,0,0,0,0,9,0,0,167651,8,5,0,0,0,0,0,55883,0,223534,192
create new account,224,224,4040,0,0,0,1352,0,224,2312,0,0,0,0,0,4041,0,0,450,4040,1349,0,0,0,0,0,224,0,898,532
mint NFT,0,0,8,0,7740,0,8,0,30180,4809,0,0,0,0,7545,9,1474733,0,52817,8,5,0,7545,0,22635,0,7545,0,90542,348
add and remove key to/from account,0,2646,8,2646,0,0,8,0,3969,2394,0,0,96579,1323,0,9,0,1323,3971,8,5,0,0,0,0,0,1323,0,9263,183
copy array from storage + reference tx,0,0,8,0,0,0,8,0,3515,4001,0,0,35150,0,0,9,0,0,272782,8,5,0,0,0,0,0,241143,0,517440,357
add key to account + bool,0,1118,8,1118,0,0,8,0,2236,2394,0,0,81614,1118,0,9,0,0,73138,8,5,0,0,0,0,0,36567,0,111941,333
,0,1,1,3,3,1,0,0,2,3201,0,0,764,0,1,1,274,0,3,1,0,0,0,0,0,0,0,0,5,4
get account and get available balance,0,0,3680,0,0,0,3068,612,6120,1395224,0,0,0,0,0,3681,0,0,7958,3680,1229,0,0,612,0,0,612,0,14690,279
borrow array from storage,0,0,8,0,0,0,8,0,315,4001,0,0,0,0,0,9,0,0,4727,8,5,0,0,0,0,0,1890,0,6932,13
create new account and deploy contract,281,562,5628,562,562,281,2818,0,843,327148,0,0,10397,0,281,5348,46363,0,845,5628,2815,0,0,0,0,0,281,0,1969,464
convert int to string + transfer tokens,0,4396,8,0,0,0,8,0,158638,4138,0,0,0,0,6594,9,225,0,319478,8,5,0,2198,0,6594,2198,136658,0,614774,566
path,0,0,8,0,0,0,8,0,0,2312,0,0,0,0,0,9,0,0,340712,8,5,0,0,0,0,0,170355,0,511067,327
convert int to string + get account and get storage used,0,0,8,0,0,0,8,8523,25803,2394,0,0,0,0,0,9,0,0,51610,8,5,0,0,0,0,0,25803,0,103216,131
copy array from storage,0,0,8,0,0,0,8,0,8881,4124,0,0,88810,0,0,9,0,0,133217,8,5,0,0,0,0,0,53286,0,195384,224
