tx,1,52,29,78,108,49,68,86,94,72,71,43,81,57,105,59,62,10,60,103,13,9,15,104,46,69,19,75,3,96,92,84,50,2,85,101,11,90,37,44,28,107,70,12,65,4,22,38,8,20,34,31,95,7,102,89,83,56,93,77,41,27,36,26,47,88,61,40,76,33,106,53,51,23,98,80,21,25,18,55,91,48,45,14,32,24,79,82,6,42,63,17,estimated,actual
copy array from storage and save a duplicate + get account and get available balance,9536,3631,2,578,111,1373,254,1,0,180,0,30173,2,288,4,332,402,0,1,72,2715,0,1351,72,1093,221,34,3,39320,219,254,1056,1382,137,1861,3410,138,0,823434,111,51,87022,0,310,339,0,357,102,53960,17,51,0,1,10792,216,837,4412,726,72,0,29713,103,0,21892,770,254,39,4593,0,51,164384,2470,741,4598,0,180,0,907904,17,1381,72,767,16659,0,0,51,49,0,3280,18621,763,4100,124723019,71130576
get account and get balance + get signer vault,14368,206031,0,32962,6183,78285,14422,0,0,10300,0,1712088,2,16480,2,18548,22664,0,1,4121,13674,0,2,4120,61810,12363,686,2,2154612,12361,14422,59750,78294,3089,105081,193664,29408,0,45198741,6183,1029,4932700,0,59845,18553,0,16138,2059,0,13674,14360,0,1,0,12360,47386,249303,41206,4120,0,1687340,42052,0,28379,43273,14422,2063,25012,0,1029,9321094,140100,41217,30505,0,10300,0,875152,343,78293,4120,43271,943624,0,0,343,2070,0,24720,1052853,43267,14362,1359133806,231287688
add and remove key to/from account,1454,231,0,35,9,81,16,0,0,10,0,1872,2,16,2,26,25,0,1,4,0,0,2,4,70,16,0,1,2315,12,16,69,90,1,123,211,2,0,46311,9,0,5458,0,4,29,0,17,0,320229,0,0,0,0,4347,12,50,279,46,4,0,1824,1,0,2899,54,16,5,19,0,0,10266,155,54,1473,0,10,0,104336,0,89,4,53,1050,0,0,0,10,0,105777,1202,49,2,335656685,73623720
reference tx + bool,90989,231,0,34,9,81,16,0,0,10,0,1890,2,16,2,26,26,0,1,4,0,0,2,4,68,14,0,2,2166,12,16,66,90,1,120,211,2,0,46328,9,0,5475,0,4,31,0,17,0,0,0,0,0,0,0,12,53,281,46,4,0,1829,1,0,90985,55,16,5,4206,2,0,10305,155,57,24,0,10,0,5554960,0,89,4,53,1049,0,0,0,12,0,0,1201,49,2,280598035,56280544
get signer address + address,28790,231,0,34,9,81,16,0,0,10,0,1890,2,16,2,26,26,0,1,4,0,0,2,4,68,15,0,2,2166,12,16,66,90,5314,121,212,2,0,46343,9,0,5479,0,4,31,0,17,0,0,0,0,0,0,0,12,52,282,46,4,0,1831,1,0,34099,55,16,5,5332,0,0,10313,156,57,24,0,10,0,1842192,0,89,4,53,1052,0,0,0,13,0,0,1202,49,2,94197803,31158072
character,145735,231,0,35,9,81,16,1,0,10,0,1875,2,16,2,26,26,0,1,4,0,0,2,4,68,14,0,1,2250,12,16,66,90,1,120,212,2,0,46269,9,0,5449,0,4,29,145730,17,0,0,0,0,0,0,0,12,50,277,46,4,0,1822,1,0,437191,54,16,5,145749,0,0,10253,156,55,24,0,10,0,9326728,0,89,4,53,1046,0,0,0,10,0,0,1197,49,2,478447647,282163872
add and remove key to/from account + load and save empty string on signers address,23332,231,0,36,9,81,16,0,0,10,0,1891,2,16,2,26,25,0,1,4,23021,0,23023,4,73,18,0,2,2439,14,16,71,90,1,125,212,2,0,461292,9,0,5527,0,4,31,0,17,0,66963,0,0,0,0,909,12,52,287,46,4,0,1844,1,0,115713,55,16,5,19,0,0,10395,156,56,46369,0,10,0,1495176,0,89,4,53,1065,0,0,0,13,0,22119,1223,49,46044,153737739,127111632
dict + create new account,6864,6231,0,994,189,2361,436,0,0,310,0,51755,2,496,2,566,687,0,1,124,0,13696,2,124,1869,374,0,2,64586,372,436,1807,2370,11,3180,5853,12,0,1347471,189,0,149137,0,44,571,0,17,0,0,0,0,6848,0,0,372,1432,7544,1246,124,0,50974,1,0,20556,1315,436,65,6877,0,0,281784,4236,1258,54,1,310,0,438928,0,2369,124,1313,28535,0,0,0,72,1,0,31870,1309,2,60261552,25101336
borrow array from storage,81515,231,1,34,9,81,16,1,0,10,0,1899,2,16,3,26,28,0,1,5,11644,0,2,4,69,14,0,2,2792,13,16,67,90,1,123,213,2,0,105136,9,0,5526,0,4,31,0,17,0,756860,11644,11644,0,1,151372,12,53,287,46,4,0,1843,1,0,174661,55,16,5,34951,0,0,10399,157,59,11668,0,10,0,7824776,0,89,4,53,1067,0,0,0,12,0,8,1221,49,11646,1181698299,251073248
