tx,RevokeEncodedAccountKey,GenerateUUID,GetAccountBalance,SetValue,ValueDecoded,ProgramChecked,ProgramParsed,ValueEncoded,ProgramInterpreted,GetProgram,ValueExists,GetStorageUsed,function_or_loop_call,UpdateAccountContractCode,ContractFunctionInvoke,GetValue,EmitEvent,GetStorageCapacity,GetAccountContractCode,GetCode,AllocateStorageIndex,SetProgram,CreateAccount,AddEncodedAccountKey,GetAccountAvailableBalance,ResolveLocation,ms
copy array from storage,0,1,0,343,14,1,1,0,5,20,0,3,359988,0,4,2646,3,3,0,0,0,1,0,0,0,3,513
reference tx + get account and get storage capacity,0,1,0,343,1729,1,1,0,577,1736,0,3,502608,0,576,265786,3,575,0,0,0,1,0,0,0,3,309
get signer address,0,1,0,343,13,1,1,0,5,20,0,3,24734,0,4,2094,3,3,0,0,0,1,0,0,0,3,10
create new account + get signer address,0,442,0,107506,1336,1,1,441,299,1196,441,150,388792,0,298,204807,885,150,0,0,147,1,147,0,0,3,305
borrow array from storage + create new account and deploy contract,0,394,0,108680,1193,132,132,524,529,1068,393,134,12405,131,266,183295,920,134,131,131,262,1,131,0,0,3,250
mint NFT + add and remove key to/from account,431,3990,0,798262,17,1,1,0,6,23,0,4,50889,0,5,6133,865,4,0,0,4091,1,0,431,0,3,221
get signer address + add and remove key to/from account,1044,1,0,343,13,1,1,0,5,20,0,3,405001,0,4,2094,2091,3,0,0,0,1,0,1044,0,3,262
get account and get storage used + copy array from storage,0,1,0,343,14,1,1,0,5,20,0,1314,113070,0,4,2646,3,3,0,0,0,1,0,0,0,3,137
load and save empty string on signers address,0,1,0,346,14,1,1,1,5,20,0,3,185402,0,4,2138,3,3,0,0,0,1,0,0,0,3,142
call empty contract function,0,1,0,343,14,1,1,0,5,20,0,3,318010,0,4,2251,3,3,0,0,0,1,0,0,0,3,420
create new account + mint NFT,0,2298,0,462206,107,1,1,30,26,103,30,14,27248,0,25,19524,63,14,0,0,2334,1,10,0,0,3,103
mint NFT + load and save long string on signers address,0,418,0,87313,18,1,1,1,6,23,0,4,76186,0,5,6529,3,4,0,0,427,1,0,0,0,3,76
load and save empty string on signers address + create new account and deploy contract,0,271,0,74776,824,91,91,361,365,740,270,93,105724,90,184,126248,633,93,90,90,180,1,90,0,0,3,358
borrow array from storage + get signer address,0,1,0,343,14,1,1,0,5,20,0,3,495186,0,4,2646,3,3,0,0,0,1,0,0,0,3,288
load and save long string on signers address,0,1,0,387,14,1,1,1,5,20,0,3,321938,0,4,2138,3,3,0,0,0,1,0,0,0,3,248
